LONG,LAT,OBJECTID,BLDG_ID,BID,ADDRESS,POINT_X,POINT_Y,NAME,NEIGHBORHOOD,CITY,ZIP,FT_SQFT,STORY_HT,PARCEL_ID
-71.12426944,42.25648154,1,Bos_1809107000_B0,100639,1249 Hyde Park Ave,757882.7161,2918709.808,District E-18 Police Station,Hyde Park,Boston,2136,8585,2,1809107000
-71.14836775,42.28678559,2,Bos_2005719000_B0,112112,1708 Centre St,751313.456,2929725.227,District E-5 Police Station,West Roxbury,Boston,2132,7708,2,2005719000
-71.03867642,42.37105778,3,Bos_0105699000_B0,131503,69 Paris St,780827.9895,2960576.848,District A-7 Police Station,East Boston,Boston,2128,5063,2,105699000
-71.06030727,42.36182512,4,Bos_0302626000_B0,136171,40 New Sudbury St,775000.1934,2957181.411,District A-1 Police Station,Boston,Boston,2114,6882,5,302626000
-71.15057832,42.34939451,5,Bos_2202387000_B0,145004,301 Washington St,750621.8461,2952538.582,District D-14 Police Station,Brighton,Boston,2135,8712,2,2202387000
-71.05604713,42.37646666,6,Bos_0202644020_B0,148316,20 Vine St,776123.7751,2962523.044,District A-15 Police Station,Charlestown,Boston,2129,,,202644020
-71.05493628,42.34116404,7,Bos_0600118000_B0,154919,101 W Broadway,776491.0529,2949659.655,District C-6 Police Station,South Boston,Boston,2127,8528,2,600118000
-71.06923976,42.33943967,8,Bos_0801170010_B0,162100,650 Harrison Ave,772627.2772,2949011.411,District D-4 Police Station,Boston,Boston,2118,12382,3,801170010
-71.09074752,42.33419233,9,Bos_0902771010_B0,163892,One Schroeder Plz,766821.6556,2947070.551,Boston Police Headquarters,Roxbury,Boston,2120,194000,4,902771010
-71.08568435,42.32838539,10,Bos_1201261000_B0,176508,2400 Washington St,768200.9176,2944961.008,District B-2 Police Station,Roxbury,Boston,2119,10809,3,1201261000
-71.10463922,42.30972245,11,Bos_1102261000_B0,180965,3345 Washington St,763106.9412,2938135.584,District E-13 Police Station,Jamaica Plain,Boston,2130,8312,2,1102261000
-71.09170199,42.28472893,12,Bos_1404623000_B0,186089,1165 Blue Hill Ave,766649.8689,2929044.052,District B-3 Police Station,Mattapan,Boston,2124,9740,1.5,1404623000
-71.05916492,42.2980655,13,Bos_1600673000_B0,189445,40 Gibson St,775429.0124,2933947.912,District C-11 Police Station,Dorchester,Boston,2122,15338,2,1600673000
